CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
41238,BELO HORIZONTE,13,Vereador,20650,ROBERTO ELBO GONÇALVES,130001997678,6516,18,997,305
41238,BELO HORIZONTE,13,Vereador,13130,LUANA DE LIMA SOUZA,130002172495,6495,18,3196,431
41238,BELO HORIZONTE,13,Vereador,25021,MICHELLY CAROLINE LUIZ PEREIRA DE SIQUEIRA,130001902244,6495,18,3219,431
41238,BELO HORIZONTE,13,Vereador,40123,CESAR AUGUSTO CUNHA DIAS,130002188159,6373,18,3049,431
41238,BELO HORIZONTE,13,Vereador,22333,MARILDA DE CASTRO PORTELA,130002172744,6279,18,2591,425
41238,BELO HORIZONTE,13,Vereador,77777,DIEGO DE SOUZA SANCHES,130002033643,6278,18,2718,422
41238,BELO HORIZONTE,13,Vereador,30222,JOÃO ANTONIO CORDEIRO FERNANDES,130001976048,6171,18,3097,429
41238,BELO HORIZONTE,13,Vereador,23456,LEONARDO ÂNGELO DA SILVA,130001975802,6156,18,3051,431
41238,BELO HORIZONTE,13,Vereador,10800,RAMON BAPTISTA BIBIANO,130002076877,5962,18,2009,397
41238,BELO HORIZONTE,13,Vereador,70123,CLAUDINEY ALVES,130002053485,5920,18,2585,422
41238,BELO HORIZONTE,13,Vereador,25000,GIVANILDO RODRIGUES,130001902253,5751,18,1073,314
41238,BELO HORIZONTE,13,Vereador,22100,DAIANE DIAS COSTA,130002172733,5693,18,2880,427
41238,BELO HORIZONTE,13,Vereador,77200,THIAGO GALDINO DE ARAUJO,130002033676,5690,18,759,228
41238,BELO HORIZONTE,13,Vereador,44123,WAGNER MESSIAS SILVA,130002033365,5599,18,2226,414
41238,BELO HORIZONTE,13,Vereador,18123,NARA LUCIA DE PAULA FAN,130002222507,5497,18,1965,405
41238,BELO HORIZONTE,13,Vereador,44000,PABLO TIAGO DE PAULO,130002033352,5493,18,1633,394
41238,BELO HORIZONTE,13,Vereador,20555,WILSON MELO JUNIOR,130001997697,5431,18,1592,370
41238,BELO HORIZONTE,13,Vereador,50888,MARIA DA CONSOLACAO ROCHA,130002222474,5269,18,2722,420
41238,BELO HORIZONTE,13,Vereador,43000,CELIO DA ASSUNÇÃO FROIS,130002172519,5210,18,2419,410
41238,BELO HORIZONTE,13,Vereador,45200,REINALDO OLIVEIRA BATISTA,130001975796,5076,18,2118,390
41238,BELO HORIZONTE,13,Vereador,11222,LEONARDO JOSÉ RODRIGUES MARTINS,130001998136,5065,18,1067,319
41238,BELO HORIZONTE,13,Vereador,50420,DÁRIO RICARDO BRAGA DE MOURA,130002222468,5041,18,2755,425
41238,BELO HORIZONTE,13,Vereador,55107,AUTAIR GOMES PEREIRA,130001997330,4947,18,2115,364
41238,BELO HORIZONTE,13,Vereador,15107,HENRIQUE HIGÍDIO BRAGA,130002033555,4863,18,2002,389
