CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
41335,BETIM,13,Vereador,11147,APARECIDA MARIA SILVA,130001905590,63,2,45,19
41335,BETIM,13,Vereador,11333,WALTER DOS SANTOS BELINELLI,130001905609,63,2,41,15
41335,BETIM,13,Vereador,40192,ALESSANDRA DA CRUZ,130001905678,61,2,45,23
41335,BETIM,13,Vereador,40270,GRAZIELE BORGES MARINHO SILVA,130001905667,61,2,50,24
41335,BETIM,13,Vereador,44244,NILTON VIEIRA DOS SANTOS,130001885053,60,2,31,13
41335,BETIM,13,Vereador,77007,NEUSA FERNANDES COTA,130001885079,58,2,38,17
41335,BETIM,13,Vereador,23033,LEILA ALVES XAVIER CATARINA,130001893878,58,2,50,31
41335,BETIM,13,Vereador,40298,SEBASTIÃO CALIXTO DA SILVA,130001905668,58,2,41,20
41335,BETIM,13,Vereador,36013,RAFAELA SILVA ALVES PEREIRA,130002212607,57,2,51,31
41335,BETIM,13,Vereador,11012,WALDIRENE LOURDES DE FARIA,130001905601,56,2,54,29
41335,BETIM,13,Vereador,27001,WARLEY DIAS DE SOUZA,130001921722,56,2,47,26
41335,BETIM,13,Vereador,77170,GECI DE SALES BRANDAO,130001885071,54,2,44,18
41335,BETIM,13,Vereador,44000,KLAIVER JUNKER JARDIM,130001885054,54,2,44,24
41335,BETIM,13,Vereador,30300,IRACI BARBOSA DA SILVA,130002212548,54,2,44,19
41335,BETIM,13,Vereador,33422,PENHA LUCAS ROCHA,130002031993,54,2,37,14
41335,BETIM,13,Vereador,70345,JULIO CESAR COSTA,130001894761,52,2,42,27
41335,BETIM,13,Vereador,45333,NEILSON VIANA GOMES,130001893868,51,2,39,24
41335,BETIM,13,Vereador,27077,MARIA DAS GRAÇAS OLIVEIRA DE ARAUJO,130001921720,50,2,42,22
41335,BETIM,13,Vereador,18888,WALBER LUIZ BASTOS JUNIOR,130002369388,50,2,47,32
41335,BETIM,13,Vereador,10318,RITA MARIANA DA SILVA BATISTA,130001905808,48,2,43,31
41335,BETIM,13,Vereador,12580,ROSIMERE PEREIRA DA COSTA,130002212682,48,2,44,27
41335,BETIM,13,Vereador,11700,NEUSA COSTA FERREIRA,130001905612,48,2,42,25
41335,BETIM,13,Vereador,70027,MARIA DEL MAR FERRER JORDA POBLET,130001894765,47,2,40,21
41335,BETIM,13,Vereador,12122,SARA KARLA TINOCO FERREIRA,130002212681,47,2,43,25
41335,BETIM,13,Vereador,30107,CLERISSON BATISTA PARDIM,130002212544,46,2,20,3
41335,BETIM,13,Vereador,40231,GLAUCIA GOMES DE SOUZA,130001905675,45,2,31,10
41335,BETIM,13,Vereador,11733,MARILEIA DE OLIVEIRA SILVA BATISTA,130001905610,45,2,33,10
41335,BETIM,13,Vereador,11771,SANDRA MENDES PRATA,130001905600,44,2,26,10
41335,BETIM,13,Vereador,18222,RODRIGO CEZAR MIRANDA DE FREITAS,130002369392,44,2,34,15
41335,BETIM,13,Vereador,15031,DEBORA BRUNA ALVES LOBATO,130001905743,43,2,40,31
41335,BETIM,13,Vereador,77288,TATIANA FRANCISCO PINHEIRO,130002212356,42,2,33,12
41335,BETIM,13,Vereador,22832,JOSE CARLOS ALVES PEREIRA,130001921668,42,2,32,17
41335,BETIM,13,Vereador,22092,ANGELINA CAMPOS ROSSEAU LOUZADA,130001921681,42,2,35,19
41335,BETIM,13,Vereador,30010,MARLI ALVES DOS SANTOS,130002212553,42,2,32,17
41335,BETIM,13,Vereador,44113,JOSE JOAQUIM FERREIRA NETO,130001885058,41,2,29,12
41335,BETIM,13,Vereador,33444,EDVALDO FERNANDES DOS SANTOS,130002031978,40,2,37,24
41335,BETIM,13,Vereador,27187,FERNANDO FIGUEIREDO DA SILVA,130001921726,40,2,31,13
41335,BETIM,13,Vereador,30789,ELISMARY COLARES PEREIRA,130002396361,39,2,34,23
41335,BETIM,13,Vereador,23111,DIRCEU RAMOS DO ESPIRITO SANTO,130001893858,38,2,34,18
41335,BETIM,13,Vereador,70234,ANA LUIZA FAGUNDES,130001894754,38,2,31,17
41335,BETIM,13,Vereador,40193,MOISÉS ALVES BARCELOS,130001905676,35,2,22,8
41335,BETIM,13,Vereador,27999,FERNANDO BONIFACIO MENDES SANTANA,130001921724,35,2,23,8
41335,BETIM,13,Vereador,22888,CENIL TEODORO DA SILVA SOUZA,130001921664,33,2,30,18
41335,BETIM,13,Vereador,12777,MARIA AGUINALDA DE ARAÚJO,130002212680,33,2,28,11
41335,BETIM,13,Vereador,15223,RITA DE CASSIA DA SILVA CARVALHO,130001905746,32,2,27,19
41335,BETIM,13,Vereador,33022,JEICKSON BRUNO DE SOUZA SILVA ROGERIO,130002031983,31,2,30,21
41335,BETIM,13,Vereador,11023,FLAVIO RODRIGUES DA SILVA,130001905606,30,2,29,17
