CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
44458,DIVINÓPOLIS,13,Vereador,12600,RAIMUNDO NONATO XAVIER DE ANDRADE,130002024120,69,2,53,30
44458,DIVINÓPOLIS,13,Vereador,18068,CAIO CESAR LUCIANO SANTOS,130001973098,68,2,44,19
44458,DIVINÓPOLIS,13,Vereador,11900,JOÃO BATISTA VECCHI DE SOUZA,130002136092,63,2,53,27
44458,DIVINÓPOLIS,13,Vereador,55193,TERENCE HENRIQUE CARNEIRO,130001987617,62,2,57,31
44458,DIVINÓPOLIS,13,Vereador,70144,JOSE CARLOS DA SILVA,130002170042,60,2,52,32
44458,DIVINÓPOLIS,13,Vereador,55023,LARISSA JUNAIA DE MORAES DUARTE,130001987619,59,2,41,24
44458,DIVINÓPOLIS,13,Vereador,18147,JAQUELINE APARECIDA DA SILVA,130001973086,59,2,41,24
44458,DIVINÓPOLIS,13,Vereador,25222,GUSTAVO CUNHA DA CRUZ,130001926613,57,2,47,26
44458,DIVINÓPOLIS,13,Vereador,30400,SANDRA MARIA DA SILVA,130002135800,57,2,41,21
44458,DIVINÓPOLIS,13,Vereador,36369,VANESSA DOMINGUES VIEIRA,130002062859,56,2,47,24
44458,DIVINÓPOLIS,13,Vereador,23400,PAULO CESAR VIEIRA,130002028765,56,2,46,25
44458,DIVINÓPOLIS,13,Vereador,12500,CLEIBERTE RODRIGUES ARAUJO OLIVEIRA,130002024115,56,2,50,35
44458,DIVINÓPOLIS,13,Vereador,12019,SIMÃO LUIZ DOS SANTOS,130002024111,53,2,48,27
44458,DIVINÓPOLIS,13,Vereador,36122,CLAUDIA DA SILVA,130002062855,50,2,42,23
44458,DIVINÓPOLIS,13,Vereador,18777,CASSIA APARECIDA ALEXANDRE,130001973094,50,2,38,17
44458,DIVINÓPOLIS,13,Vereador,11036,MEIRIELE MARTINS,130002136087,50,2,34,21
44458,DIVINÓPOLIS,13,Vereador,22555,MASURCHIEVICK JACINTO DE SOUZA,130001923804,50,2,47,29
44458,DIVINÓPOLIS,13,Vereador,18333,CELIO MARTINS GONÇALVES,130001973085,46,2,41,22
44458,DIVINÓPOLIS,13,Vereador,30700,MARIA DOLORES DA CRUZ,130002135810,45,2,37,17
44458,DIVINÓPOLIS,13,Vereador,44015,SARA BARROS MACHADO,130001972913,45,2,33,20
44458,DIVINÓPOLIS,13,Vereador,10789,CHARLES LASMAR,130002135008,43,2,39,23
44458,DIVINÓPOLIS,13,Vereador,44977,JEFERSON GUEDES,130001972911,43,2,35,27
44458,DIVINÓPOLIS,13,Vereador,23999,APARECIDA SUELI SILVA MOURA,130002028768,42,2,39,26
44458,DIVINÓPOLIS,13,Vereador,55150,RODRIGO MACIEL SILVA,130001987609,37,2,32,17
44458,DIVINÓPOLIS,13,Vereador,18999,BARBARA HELIODORA MARTINS COUTINHO,130001973084,37,2,33,22
44458,DIVINÓPOLIS,13,Vereador,12700,THIAGO LUCIO PEREIRA,130002024119,32,2,29,16
44458,DIVINÓPOLIS,13,Vereador,23019,MAYRA CANDIDA COUTO,130002028772,29,2,26,17
44458,DIVINÓPOLIS,13,Vereador,36220,ROSELI APARECIDA DOS SANTOS,130002062861,29,2,24,21
44458,DIVINÓPOLIS,13,Vereador,25777,JULIANA NUNES,130001926624,28,2,26,19
44458,DIVINÓPOLIS,13,Vereador,44736,JULIA VAZ DE MELO RODRIGUES,130001972909,28,2,20,14
44458,DIVINÓPOLIS,13,Vereador,10777,ANGELA MARIA DE JESUS,130002135004,28,2,22,17
44458,DIVINÓPOLIS,13,Vereador,55505,TANIA LUCIA COSTA MORETE,130001987623,27,2,20,16
44458,DIVINÓPOLIS,13,Vereador,12530,ROMARA BATISTA DE MIRANDA MARTINS,130002024110,26,2,26,21
44458,DIVINÓPOLIS,13,Vereador,77222,CAMILA MARIA SILVA CORDEIRO,130001906618,25,2,22,16
44458,DIVINÓPOLIS,13,Vereador,55777,JAIAN TEIXEIRA DE SOUSA,130001987608,25,2,22,15
44458,DIVINÓPOLIS,13,Vereador,70234,JULIO CESAR DAS CHAGAS,130002386020,25,2,21,16
44458,DIVINÓPOLIS,13,Vereador,12111,ANA PAULA PEREIRA DA ROCHA DALDEGAN,130002024114,20,2,19,14
44458,DIVINÓPOLIS,13,Vereador,25111,JOSÉ GERALDO DA ANUNCIAÇÃO,130001926619,19,2,18,13
44458,DIVINÓPOLIS,13,Vereador,55417,VIVIANI APARECIDA MONTAK,130001987618,19,2,18,9
44458,DIVINÓPOLIS,13,Vereador,77033,MARIA DE FÁTIMA DE SOUSA,130001906615,18,2,17,16
44458,DIVINÓPOLIS,13,Vereador,44222,LUCIENE APARECIDA DOS SANTOS,130001972915,15,2,15,12
44458,DIVINÓPOLIS,13,Vereador,12777,MARIELA RIBEIRO DE SOUSA COSTA,130002024109,15,2,14,11
44458,DIVINÓPOLIS,13,Vereador,70070,MARIA JOSÉ VAZ RIBEIRO,130002170047,12,2,12,7
44458,DIVINÓPOLIS,13,Vereador,12333,HILTON APARECIDO GONÇALVES,130002024117,12,2,11,8
44458,DIVINÓPOLIS,13,Vereador,55780,FABIO CAMPOS DE OLIVEIRA,130001987621,10,2,10,9
44458,DIVINÓPOLIS,13,Vereador,44567,DENISE THODOROF PEREIRA,130001972903,9,2,9,7
44458,DIVINÓPOLIS,13,Vereador,30500,LUIS OTÁVIO AVELLAR SALDANHA,130002135809,6,2,6,6
44458,DIVINÓPOLIS,13,Vereador,10300,MARILDA APARECIDA DE OLIVEIRA,130002403810,3,2,3,3
