CD_SETOR,bairro,situacao,distrito,fonte_nome
310670505010157,Petrópolis,Urbana,Betim,IBGE
310670505010158,Petrópolis,Urbana,Betim,IBGE
310670505010159,Jardim Casa Branca,Urbana,Betim,IBGE
310670505010160,Jardim Casa Branca,Urbana,Betim,IBGE
310670505010161,Filadélfia,Urbana,Betim,IBGE
310670505010162,Filadélfia,Urbana,Betim,IBGE
310670505010163,Brasiléia,Urbana,Betim,IBGE
310670505010165,Bandeirinhas,Urbana,Betim,IBGE
310670505010166,São João,Urbana,Betim,IBGE
310670505010167,Morada do Trevo,Urbana,Betim,IBGE
310670505010168,Morada do Trevo,Urbana,Betim,IBGE
310670505010169,Brasiléia,Urbana,Betim,IBGE
310670505010170,Brasiléia,Urbana,Betim,IBGE
310670505010171,Santa Inês,Urbana,Betim,IBGE
310670505010172,Santa Inês,Urbana,Betim,IBGE
310670505010173,Santa Inês,Urbana,Betim,IBGE
310670505010174,Santa Inês,Urbana,Betim,IBGE
310670505010175,Brasiléia,Urbana,Betim,IBGE
310670505010176,Brasiléia,Urbana,Betim,IBGE
310670505010177,Brasiléia,Urbana,Betim,IBGE
310670505010178,Monte Verde,Urbana,Betim,IBGE
310670505010179,Monte Verde,Urbana,Betim,IBGE
310670505010180,São João,Urbana,Betim,IBGE
310670505010181,São João,Urbana,Betim,IBGE
310670505010182,Centro,Urbana,Betim,IBGE
310670505010183,Centro,Urbana,Betim,IBGE
310670505010184,Arquipélago Verde,Urbana,Betim,IBGE
310670505010185,Arquipélago Verde,Urbana,Betim,IBGE
310670505010186,Vila Alpina,Urbana,Betim,IBGE
310670505010187,São João,Urbana,Betim,IBGE
310670505010188,São João,Urbana,Betim,IBGE
310670505010189,São João,Urbana,Betim,IBGE
310670505010190,São João,Urbana,Betim,IBGE
310670505010191,Centro,Urbana,Betim,IBGE
310670505010193,Bandeirinhas,Urbana,Betim,IBGE
310670505010194,Bandeirinhas,Urbana,Betim,IBGE
310670505010195,Bandeirinhas,Urbana,Betim,IBGE
310670505010196,São João,Urbana,Betim,IBGE
310670505010197,Estância do Sereno Sede,Urbana,Betim,IBGE
310670505010198,Distrito Industrial Bandeirinhas,Rural,Betim,CNEFE
310670505010199,Filadélfia,Urbana,Betim,IBGE
310670505010200,Bandeirinhas,Urbana,Betim,IBGE
310670505010201,Cidade Verde,Urbana,Betim,IBGE
310670505020001,Novo Horizonte,Urbana,Betim,IBGE
310670505020004,Ingá,Urbana,Betim,IBGE
310670505020006,Novo Horizonte,Urbana,Betim,IBGE
310670505020007,Novo Horizonte,Urbana,Betim,IBGE
310670505020010,Ingá,Urbana,Betim,IBGE
310670505020011,Ingá,Urbana,Betim,IBGE
310670505020012,Novo Horizonte,Urbana,Betim,IBGE
310670505020015,Bom Retiro,Urbana,Betim,IBGE
310670505020016,Residencial Taquaril,Urbana,Betim,IBGE
310670505020017,Bom Retiro,Urbana,Betim,IBGE
310670505020018,Bom Retiro,Urbana,Betim,IBGE
310670505020019,Bom Retiro,Urbana,Betim,IBGE
310670505020020,C.H. Homéro Gil,Urbana,Betim,IBGE
310670505020021,C.H. Homéro Gil,Urbana,Betim,IBGE
310670505020022,Vila das Flores,Urbana,Betim,IBGE
310670505020025,Vila das Flores,Urbana,Betim,IBGE
310670505020026,Alto das Flores,Urbana,Betim,IBGE
310670505020027,Senhora das Graças,Urbana,Betim,IBGE
310670505020028,Senhora das Graças,Urbana,Betim,IBGE
310670505020029,Santa Fé,Urbana,Betim,IBGE
310670505020031,Zona rural — Betim,Rural,Betim,distrito
310670505020034,Bom Retiro,Urbana,Betim,IBGE
310670505020036,Senhora das Graças,Urbana,Betim,IBGE
310670505020037,Ingá,Urbana,Betim,IBGE
310670505020038,Bom Retiro,Urbana,Betim,IBGE
310670505020039,Senhora das Graças,Urbana,Betim,IBGE
310670505020040,Senhora das Graças,Urbana,Betim,IBGE
310670505020041,Ingá,Urbana,Betim,IBGE
310670505020042,Santa Lúcia,Urbana,Betim,IBGE
310670505020045,Residencial Lagoa,Urbana,Betim,IBGE
310670505020046,Novo Horizonte,Urbana,Betim,IBGE
310670505020047,Bom Repouso,Urbana,Betim,IBGE
310670505020048,Residencial Taquaril,Urbana,Betim,IBGE
310670505020049,Bom Retiro,Urbana,Betim,IBGE
310670505020050,Bom Retiro,Urbana,Betim,IBGE
310670505020051,C.H. Homéro Gil,Urbana,Betim,IBGE
310670505020052,Vila das Flores,Urbana,Betim,IBGE
310670505020053,Vila das Flores,Urbana,Betim,IBGE
310670505020054,C.H. Homéro Gil,Urbana,Betim,IBGE
310670505020056,Vila das Flores,Urbana,Betim,IBGE
310670505020058,Senhora das Graças,Urbana,Betim,IBGE
310670505020059,Ponte Alta,Urbana,Betim,IBGE
310670505020060,Ponte Alta,Urbana,Betim,IBGE
310670505020062,Serra das Flores,Urbana,Betim,IBGE
310670505020063,Novo Horizonte,Urbana,Betim,IBGE
310670505020064,Ingá,Urbana,Betim,IBGE
310670505020065,Ingá,Urbana,Betim,IBGE
310670505020066,Ingá,Urbana,Betim,IBGE
310670505020067,Novo Horizonte,Urbana,Betim,IBGE
310670505020068,Novo Horizonte,Urbana,Betim,IBGE
310670505020069,Bom Retiro,Urbana,Betim,IBGE
310670505020070,Bom Retiro,Urbana,Betim,IBGE
310670505020071,Bom Retiro,Urbana,Betim,IBGE
310670505020072,Bom Retiro,Urbana,Betim,IBGE
310670505020073,Bom Retiro,Urbana,Betim,IBGE
310670505020074,Bom Retiro,Urbana,Betim,IBGE
310670505020075,Bom Retiro,Urbana,Betim,IBGE
310670505020076,Bom Retiro,Urbana,Betim,IBGE
