NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,DS_TIPO_LOCAL,NR_LATITUDE,NR_LONGITUDE,QT_ELEITORES,QT_SECOES
BELO HORIZONTE,27,1449,ESCOLA ESTADUAL LUIZ DE BESSA,"RUA ASA BRANCA, 103",GOIÂNIA,Convencional,-19.8706018,-43.9005542,6595,14
BELO HORIZONTE,27,1457,ESCOLA ESTADUAL CARLOS CAMPOS,"RUA MARIA AZEVEDO COSTA, 98",EYMARD,Convencional,-19.8605569,-43.9165688,2697,7
BELO HORIZONTE,27,1465,E. E. PROF. MARIA AMELIA GUIMARAES,"RUA AMARAL, 32",PIRAJÁ,Convencional,-19.866787,-43.9184069,6638,16
BELO HORIZONTE,27,1473,ESCOLA ESTADUAL SERGIA CALDEIRA ALKIMIN,"RUA SANTA EDWIGES, 336",SÃO MARCOS,Convencional,-19.8685937,-43.9120583,4248,9
BELO HORIZONTE,27,1481,ESCOLA ESTADUAL JOSE IZIDORO DE MIRANDA,"RUA FRANCELINA ALVES DE MIRANDA, 468",MARIA GORETE,Convencional,-19.8638025,-43.9096595,4774,11
BELO HORIZONTE,27,1511,ESCOLA ESTADUAL PROF. MARIA DE LOURDES OLIVEIRA,"RUA BARREIRO GRANDE, S/N",MARIA GORETE,Convencional,-19.86254,-43.9095372,4843,11
BELO HORIZONTE,27,1520,ESCOLA MUNICIPAL PROF. MILTON LAGE,"RUA A, 70",JARDIM VITÓRIA,Convencional,-19.8516986,-43.884933,6782,14
BELO HORIZONTE,27,1538,ESCOLA MUNICIPAL PROFESSORA HELENA ABDALLA,"RUA ARNALDO LOURENÇO, 602",JARDIM VITÓRIA,Convencional,-19.8576932,-43.8835127,3919,8
BELO HORIZONTE,28,1015,E. M. PE. FRANCISCO CARVALHO MOREIRA,"AV. ITAITUBA,  12",SÃO GERALDO,Convencional,-19.8993788,-43.9042744,2848,7
BELO HORIZONTE,28,1023,E. M. PROF. ALCIDA TORRES,"RUA ALVARO FERNANDES   , 144",CASTANHEIRAS(conjunto taquaril),Convencional,-19.9167701,-43.8842406,6331,15
BELO HORIZONTE,28,1031,E. M. FERNANDO DIAS COSTA,"RUA PEDRO ALEXANDRINO MENDONCA, 10",TAQUARIL,Convencional,-19.9197797,-43.878228,4780,11
BELO HORIZONTE,28,1040,E. E. ENGENHEIRO PRADO LOPES,"RUA ITAGUA   ,320",VERA CRUZ,Convencional,-19.9043789,-43.8914483,2504,6
BELO HORIZONTE,28,1619,E. E. ONDINA AMARAL BRANDAO,"RUA CASA BRANCA  ,40",POMPÉIA,Convencional,-19.9095751,-43.9029745,3136,8
BELO HORIZONTE,28,1627,COLÉGIO NOSSA SENHORA DAS DORES,"RUA AMAZONITA, 100",POMPÉIA,Convencional,-19.9105179,-43.9039954,6629,19
BELO HORIZONTE,28,1678,E. E. CAMINHO A LUZ,"RUA CRAVINAS  , 537",ESPLANADA,Convencional,-19.9044334,-43.9027247,3441,8
BELO HORIZONTE,28,1686,E. E. GERALDINA SOARES,"RUA BONINAS  ,  517",ESPLANADA,Convencional,-19.9055501,-43.9051602,3705,9
BELO HORIZONTE,28,1724,E. E. CEL. VICENTE TORRES JUNIOR,"RUA LEOPOLDO GOMES   ,1302",VERA CRUZ,Convencional,-19.9107528,-43.8954863,4790,11
BELO HORIZONTE,28,1732,E. E. JULIA LOPES DE ALMEIDA,"RUA PADRE JULIO MARIA   ,177",SAUDADE,Convencional,-19.9169484,-43.9004534,3224,8
BELO HORIZONTE,28,1740,E. E. NECESIO TAVARES,"RUA FERNAO DIAS  ,7",VERA CRUZ,Convencional,-19.9074262,-43.8922035,4644,11
BELO HORIZONTE,28,1775,CENTRO COMUNIT. DA PAROQUIA SANTA CRUZ,"RUA GENERAL OSORIO, 485",SAUDADE,Convencional,-19.91223,-43.8973346,1427,4
BELO HORIZONTE,28,1791,E. E. CORACAO EUCARISTICO,"RUA ARCOS  , 410",VERA CRUZ,Convencional,-19.9119202,-43.8978231,3842,9
BELO HORIZONTE,28,1813,E. M. ISRAEL PINHEIRO,"RUA DESEMBARGADOR BRAULIO   ,1147",VERA CRUZ,Convencional,-19.9118218,-43.8898062,6770,15
BELO HORIZONTE,28,1821,E. M. GEORGE RICARDO SALUM,RUA DESEMBARGADOR BRAULIO   . 2250,VERA CRUZ,Convencional,-19.9186515,-43.8875609,4293,11
BELO HORIZONTE,28,1872,COLEGIO ABGAR RENAULT,"RUA GUIMARANIA, 108",BOA VISTA,Convencional,-19.8937825,-43.9042292,3526,9
BELO HORIZONTE,28,1880,COLEGIO NORMAL FREDERICO OZANAN,"RUA JERONIMO MONTEIRO  ,48",BOA VISTA,Convencional,-19.8937274,-43.9063171,2769,6
BELO HORIZONTE,28,1899,E. E. ASSIS CHATEAUBRIAND,"RUA MARZAGANIA   ,289",BOA VISTA,Convencional,-19.8929225,-43.9049814,5705,13
BELO HORIZONTE,28,1902,E. E. CARLOS GOES,"RUA ERNESTO AUSTIN  ,420",BOA VISTA,Convencional,-19.8957047,-43.9024022,4957,11
BELO HORIZONTE,28,1910,E. E. ENG. SILVIO FONSECA,"RUA SIMAO PEREIRA   ,60",NOVA VISTA,Convencional,-19.8876759,-43.8988419,4219,10
BELO HORIZONTE,28,1929,E. E. PAULO DAS GRAÇAS DA SILVA,"RUA SILVA REIS, 80",NOVA VISTA,Convencional,-19.8887411,-43.8961378,5724,13
