CD_SETOR,bairro,situacao,distrito,fonte_nome
310620005620136,Nossa Senhora da Conceição,Urbana,Belo Horizonte,IBGE
310620005620137,Nossa Senhora da Conceição,Urbana,Belo Horizonte,IBGE
310620005620138,Nossa Senhora da Conceição,Urbana,Belo Horizonte,IBGE
310620005620139,Nossa Senhora da Conceição,Urbana,Belo Horizonte,IBGE
310620005620140,Nossa Senhora da Conceição,Urbana,Belo Horizonte,IBGE
310620005620141,Nossa Senhora da Conceição,Urbana,Belo Horizonte,IBGE
310620005620143,Acaba Mundo,Urbana,Belo Horizonte,IBGE
310620005620144,Comiteco,Urbana,Belo Horizonte,IBGE
310620005620145,Comiteco,Urbana,Belo Horizonte,IBGE
310620005620146,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620147,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620149,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620151,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620153,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620154,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620155,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620156,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620157,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620158,Carmo,Urbana,Belo Horizonte,IBGE
310620005620159,Carmo,Urbana,Belo Horizonte,IBGE
310620005620160,São Pedro,Urbana,Belo Horizonte,IBGE
310620005620163,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620164,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620165,Savassi,Urbana,Belo Horizonte,IBGE
310620005620168,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620169,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620170,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620171,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620172,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620174,Centro,Urbana,Belo Horizonte,IBGE
310620005620175,Centro,Urbana,Belo Horizonte,IBGE
310620005620176,Centro,Urbana,Belo Horizonte,IBGE
310620005620178,Centro,Urbana,Belo Horizonte,IBGE
310620005620181,Centro,Urbana,Belo Horizonte,IBGE
310620005620182,Centro,Urbana,Belo Horizonte,IBGE
310620005620183,Centro,Urbana,Belo Horizonte,IBGE
310620005620185,Centro,Urbana,Belo Horizonte,IBGE
310620005620187,Floresta,Urbana,Belo Horizonte,IBGE
310620005620188,Floresta,Urbana,Belo Horizonte,IBGE
310620005620189,Floresta,Urbana,Belo Horizonte,IBGE
310620005620190,Floresta,Urbana,Belo Horizonte,IBGE
310620005620191,Sion,Urbana,Belo Horizonte,IBGE
310620005620192,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620193,Anchieta,Urbana,Belo Horizonte,IBGE
310620005620195,Sion,Urbana,Belo Horizonte,IBGE
310620005620196,Sion,Urbana,Belo Horizonte,IBGE
310620005620197,Sion,Urbana,Belo Horizonte,IBGE
310620005620201,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620202,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620203,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620204,Savassi,Urbana,Belo Horizonte,IBGE
310620005620206,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620207,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620208,Centro,Urbana,Belo Horizonte,IBGE
310620005620209,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620210,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620213,Centro,Urbana,Belo Horizonte,IBGE
310620005620214,Centro,Urbana,Belo Horizonte,IBGE
310620005620215,Centro,Urbana,Belo Horizonte,IBGE
310620005620216,Centro,Urbana,Belo Horizonte,IBGE
310620005620217,Centro,Urbana,Belo Horizonte,IBGE
310620005620218,Centro,Urbana,Belo Horizonte,IBGE
310620005620221,Sion,Urbana,Belo Horizonte,IBGE
310620005620222,Sion,Urbana,Belo Horizonte,IBGE
310620005620225,Sion,Urbana,Belo Horizonte,IBGE
310620005620228,Sion,Urbana,Belo Horizonte,IBGE
310620005620229,Sion,Urbana,Belo Horizonte,IBGE
310620005620230,São Pedro,Urbana,Belo Horizonte,IBGE
310620005620232,São Pedro,Urbana,Belo Horizonte,IBGE
310620005620233,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620234,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620235,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620236,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620237,Santo Antônio,Urbana,Belo Horizonte,IBGE
310620005620238,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620241,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620242,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620243,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620245,Lourdes,Urbana,Belo Horizonte,IBGE
310620005620246,Santo Agostinho,Urbana,Belo Horizonte,IBGE
310620005620248,Centro,Urbana,Belo Horizonte,IBGE
310620005620249,Centro,Urbana,Belo Horizonte,IBGE
310620005620251,Centro,Urbana,Belo Horizonte,IBGE
310620005620252,Centro,Urbana,Belo Horizonte,IBGE
