NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,DS_TIPO_LOCAL,NR_LATITUDE,NR_LONGITUDE,QT_ELEITORES,QT_SECOES
BELO HORIZONTE,26,1031,COLÉGIO BATISTA MINEIRO,"RUA PLOMBAGINA, 305",COLÉGIO BATISTA,Convencional,-19.9079674,-43.9345507,7029,16
BELO HORIZONTE,26,1040,COLÉGIO SANTA MARIA,"RUA JACUÍ, 237",FLORESTA,Convencional,-19.9110631,-43.932589,7944,17
BELO HORIZONTE,26,1058,COLÉGIO SÃO LUIZ GONZAGA,"RUA GENERAL CARNEIRO, 397",SAGRADA FAMILIA,Convencional,-19.9075896,-43.9255326,4439,11
BELO HORIZONTE,26,1074,COLÉGIO TIRADENTES DA POLÍCIA MILITAR,"PRAÇA DUQUE DE CAXIAS, S/N",SANTA TERESA,Convencional,-19.9164193,-43.917815,8507,21
BELO HORIZONTE,26,1090,ESCOLA ESTADUAL HELENA PENA,"RUA GENOVEVA DE SOUZA, 691",SAGRADA FAMILIA,Convencional,-19.9060138,-43.9253871,5446,13
BELO HORIZONTE,26,1112,PLUG MINAS,"RUA SANTO AGOSTINHO, 1441",HORTO,Convencional,-19.8980698,-43.9136817,8206,24
BELO HORIZONTE,26,1120,ESCOLA ESTADUAL SAGRADA FAMÍLIA,"RUA CÉLIA DE SOUZA, 600",SAGRADA FAMILIA,Convencional,-19.9054865,-43.9256817,7473,16
BELO HORIZONTE,26,1139,ESCOLA ESTADUAL SANDOVAL DE AZEVEDO,"RUA POUSO ALEGRE, 2382",HORTO,Convencional,-19.9119538,-43.917277,4836,13
BELO HORIZONTE,26,1155,ESCOLA MUNICIPAL DOMICIANO VIEIRA,"RUA SÃO BENTO, 1591",SAGRADA FAMILIA,Convencional,-19.9028174,-43.9157818,4431,11
BELO HORIZONTE,26,1163,COLÉGIO TIRADENTES 2,"PRAÇA DUQUE DE CAXIAS, S/N",SANTA TERESA,Convencional,-19.9157568,-43.9169127,1321,6
BELO HORIZONTE,26,1236,REGIONAL LESTE,"RUA SALINAS, 1447",SANTA TERESA,Convencional,-19.9148156,-43.921496,2805,8
BELO HORIZONTE,26,1287,COLÉGIO SÃO JOSÉ,"RUA BUENO BRANDÃO,151",FLORESTA,Convencional,-19.9154061,-43.9263339,3880,11
BELO HORIZONTE,26,1295,COLÉGIO MAGNUM AGOSTINIANO,"RUA SÃO GONÇALO,1364",NOVA FLORESTA,Convencional,-19.8908707,-43.9315246,6166,13
BELO HORIZONTE,26,1309,COLÉGIO SÃO MIGUEL ARCANJO,"RUA ILDEFONSO ALVIM,501",NOVA FLORESTA,Convencional,-19.8960857,-43.930892,6880,16
BELO HORIZONTE,26,1325,ESCOLA MUNICIPAL GOVERNADOR CARLOS LACERDA,"RUA PRINCESA LEOPOLDINA, 490",IPIRANGA,Convencional,-19.886066,-43.9322591,4640,13
BELO HORIZONTE,26,1333,COLÉGIO MAXIMUS,"RUA ITACARAMBI,108",SANTA INES,Convencional,-19.8860415,-43.9065781,5596,14
BELO HORIZONTE,26,1350,ESCOLA MUNICIPAL EMÍDIO BERUTTO,"RUA CONCEIÇÃO DO PARÁ, 1726",SANTA INES,Convencional,-19.8801866,-43.9109683,3559,10
BELO HORIZONTE,26,1368,COLÉGIO TIRADENTES DA POLÍCIA MILITAR,"PRAÇA DUQUE DE CAXIAS, S/N",SANTA TERESA,Convencional,-19.9164193,-43.917815,144,1
BELO HORIZONTE,26,1406,COLÉGIO LOGOSÓFICO - CIDADE NOVA,"AV. JOSÉ CÂNDIDO DA SILVEIRA, 330",SAGRADA FAMILIA,Convencional,-19.8941988,-43.923986,1403,3
BELO HORIZONTE,27,1058,ESCOLA ESTADUAL MENDES PIMENTEL,"RUA NAIR DUARTE DE BARROS, 5",FERNÃO DIAS,Convencional,-19.871164,-43.9211738,4177,9
BELO HORIZONTE,27,1082,ESCOLA SESI NEWTON ANTONIO DA SILVA PEREIRA,"RUA AIURUOCA, 539",SÃO PAULO,Convencional,-19.8652644,-43.924939,2917,8
BELO HORIZONTE,27,1090,ESCOLA MUNICIPAL FRANCISCO BRESSANE DE AZEVEDO,"RUA AIURUOCA, 501",SÃO PAULO,Convencional,-19.8662326,-43.9245637,2304,9
BELO HORIZONTE,27,1112,ESCOLA ESTADUAL LAUDIEME VAZ DE MELO,"RUA CAMILO PRATES, 238",UNIÃO,Convencional,-19.8824729,-43.918528,4319,11
BELO HORIZONTE,27,1120,ESCOLA MUNICIPAL ANISIO TEIXEIRA,"RUA BOLIVAR,  10",UNIÃO,Convencional,-19.8832451,-43.92583,7755,19
BELO HORIZONTE,27,1147,COLEGIO ESPANHOL SANTA MARIA,"RUA PROFESSOR COSTA CHIABI, 15",CIDADE NOVA,Convencional,-19.886752,-43.9220122,7761,16
BELO HORIZONTE,27,1155,ESCOLA MUNICIPAL PROFESSORA MARIA MODESTA CRAVO,RUA DR JULIO OTAVIANO FERREIRA 1085,CIDADE NOVA,Convencional,-19.8905636,-43.9204639,7563,17
BELO HORIZONTE,27,1309,E.M. HENRIQUETA LISBOA (UNIDADE DO BAIRRO FERNÃO DIAS),"RUA GEORGINA DE PADUA, 207",FERNÃO DIAS,Convencional,-19.874226,-43.9141224,5729,12
BELO HORIZONTE,27,1325,ESCOLA MUNICIPAL HONORINA RABELO,"RUA MARIA DA CONCEICAO BONFIM, 315",GOIÂNIA,Convencional,-19.857422,-43.8956262,5044,11
BELO HORIZONTE,27,1384,ESCOLA MUNICIPAL PREFEITO SOUZA LIMA,"RUA DOS PARAGUAIOS, 97",JARDIM VITÓRIA,Convencional,-19.8546725,-43.8836065,4737,10
BELO HORIZONTE,27,1430,E.M. MARIA DA ASSUNÇÃO DE MARCO,"RUA ANA HORTA, 98",GOIÂNIA,Convencional,-19.8594504,-43.9040428,4950,13
BELO HORIZONTE,27,1449,ESCOLA ESTADUAL LUIZ DE BESSA,"RUA ASA BRANCA, 103",GOIÂNIA,Convencional,-19.8706018,-43.9005542,6629,14
BELO HORIZONTE,27,1457,ESCOLA ESTADUAL CARLOS CAMPOS,"RUA MARIA AZEVEDO COSTA, 98",EYMARD,Convencional,-19.8605569,-43.9165688,2647,7
BELO HORIZONTE,27,1465,E. E. PROF. MARIA AMELIA GUIMARAES,"RUA AMARAL, 32",PIRAJÁ,Convencional,-19.866787,-43.9184069,6504,16
BELO HORIZONTE,27,1473,ESCOLA ESTADUAL SERGIA CALDEIRA ALKIMIN,"RUA SANTA EDWIGES, 336",SÃO MARCOS,Convencional,-19.8685937,-43.9120583,4197,9
BELO HORIZONTE,27,1481,ESCOLA ESTADUAL JOSE IZIDORO DE MIRANDA,"RUA FRANCELINA ALVES DE MIRANDA, 468",MARIA GORETE,Convencional,-19.8638025,-43.9096595,4703,11
BELO HORIZONTE,27,1511,ESCOLA ESTADUAL PROF. MARIA DE LOURDES OLIVEIRA,"RUA BARREIRO GRANDE, S/N",MARIA GORETE,Convencional,-19.86254,-43.9095372,4898,11
BELO HORIZONTE,27,1520,ESCOLA MUNICIPAL PROF. MILTON LAGE,"RUA A, 70",JARDIM VITÓRIA,Convencional,-19.8516986,-43.884933,6841,14
BELO HORIZONTE,27,1538,ESCOLA MUNICIPAL PROFESSORA HELENA ABDALLA,"RUA ARNALDO LOURENÇO, 602",JARDIM VITÓRIA,Convencional,-19.8576932,-43.8835127,4129,9
BELO HORIZONTE,28,1015,E. M. PE. FRANCISCO CARVALHO MOREIRA,"AV. ITAITUBA,  12",SÃO GERALDO,Convencional,-19.8993788,-43.9042744,2919,7
BELO HORIZONTE,28,1023,E. M. PROF. ALCIDA TORRES,"RUA ALVARO FERNANDES   , 144",CASTANHEIRAS(conjunto taquaril),Convencional,-19.9167701,-43.8842406,6513,15
BELO HORIZONTE,28,1031,E. M. FERNANDO DIAS COSTA,"RUA PEDRO ALEXANDRINO MENDONCA, 10",TAQUARIL,Convencional,-19.9197797,-43.878228,4583,11
BELO HORIZONTE,28,1040,E. E. ENGENHEIRO PRADO LOPES,"RUA ITAGUA   ,320",VERA CRUZ,Convencional,-19.9043789,-43.8914483,2588,6
BELO HORIZONTE,28,1619,E. E. ONDINA AMARAL BRANDAO,"RUA CASA BRANCA  ,40",POMPÉIA,Convencional,-19.9095751,-43.9029745,3116,8
BELO HORIZONTE,28,1627,COLÉGIO NOSSA SENHORA DAS DORES,"RUA AMAZONITA, 100",POMPÉIA,Convencional,-19.9105179,-43.9039954,6453,19
BELO HORIZONTE,28,1678,E. E. CAMINHO A LUZ,"RUA CRAVINAS  , 537",ESPLANADA,Convencional,-19.9044334,-43.9027247,3371,8
BELO HORIZONTE,28,1686,E. E. GERALDINA SOARES,"RUA BONINAS  ,  517",ESPLANADA,Convencional,-19.9055501,-43.9051602,3629,9
BELO HORIZONTE,28,1724,E. E. CEL. VICENTE TORRES JUNIOR,"RUA LEOPOLDO GOMES   ,1302",VERA CRUZ,Convencional,-19.9107528,-43.8954863,4569,11
BELO HORIZONTE,28,1732,E. E. JULIA LOPES DE ALMEIDA,"RUA PADRE JULIO MARIA   ,177",SAUDADE,Convencional,-19.9169484,-43.9004534,3195,8
BELO HORIZONTE,28,1740,E. E. NECESIO TAVARES,"RUA FERNAO DIAS  ,7",VERA CRUZ,Convencional,-19.9074262,-43.8922035,4617,11
BELO HORIZONTE,28,1775,CENTRO COMUNIT. DA PAROQUIA SANTA CRUZ,"RUA GENERAL OSORIO, 485",SAUDADE,Convencional,-19.91223,-43.8973346,1464,4
BELO HORIZONTE,28,1791,E. E. CORACAO EUCARISTICO,"RUA ARCOS  , 410",VERA CRUZ,Convencional,-19.9119202,-43.8978231,3875,9
BELO HORIZONTE,28,1813,E. M. ISRAEL PINHEIRO,"RUA DESEMBARGADOR BRAULIO   ,1147",VERA CRUZ,Convencional,-19.9118218,-43.8898062,6507,15
BELO HORIZONTE,28,1821,E. M. GEORGE RICARDO SALUM,RUA DESEMBARGADOR BRAULIO   . 2250,VERA CRUZ,Convencional,-19.9186515,-43.8875609,4326,11
BELO HORIZONTE,28,1872,COLEGIO ABGAR RENAULT,"RUA GUIMARANIA, 108",BOA VISTA,Convencional,-19.8937825,-43.9042292,3535,9
BELO HORIZONTE,28,1880,COLEGIO NORMAL FREDERICO OZANAN,"RUA JERONIMO MONTEIRO  ,48",BOA VISTA,Convencional,-19.8937274,-43.9063171,2732,6
BELO HORIZONTE,28,1899,E. E. ASSIS CHATEAUBRIAND,"RUA MARZAGANIA   ,289",BOA VISTA,Convencional,-19.8929225,-43.9049814,5715,13
BELO HORIZONTE,28,1902,E. E. CARLOS GOES,"RUA ERNESTO AUSTIN  ,420",BOA VISTA,Convencional,-19.8957047,-43.9024022,4756,11
