NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
319;1120;E. M. PRESIDENTE RAUL SOARES;RUA JOSÉ TEIXEIRA DE OLIVEIRA - 585;1871;10
319;1139;ESCOLA MUNICIPAL MARIA MOURICI GRANIERI;RUA JOSÉ MARTINIANO DE SOUZA - 250;2630;13
319;1147;E. M. FRANCISCO DE SALES BARBOSA;RUA PRINCESA IZABEL - 246;1891;10
319;1155;ESCOLA ESTADUAL SENADOR TEOTÔNIO VILELA;RUA BELO HORIZONTE - 475;2444;1
319;1163;E. M. VALÉRIO FERREIRA PALHARES;RUA ISRAEL - 75;3323;3
319;1171;ESCOLA MUNICIPAL GERALDO JORGE MEIRA;ALAMEDA DAS MANGUEIRAS - 260;300;0
319;1180;E. M. FREI  EDGARD GROOT;RUA GERALDO JOSÉ VIEIRA - 21;2931;3
319;1198;ESCOLA MUNICIPAL GINO JOSÉ DE SOUZA;RUA AMOREIRAS - 176;3563;4
319;1201;COLÉGIO TIRADENTES DA PMMG - UNIDADE BETIM;RUA DE SÍRIUS - 909;2310;12
319;1210;ESCOLA MUNICIPAL FREI ROGATO;RUA ANA NERI - 399/400;1210;1
319;1228;ESCOLA MUNICIPAL JOSÉ SALUSTIANO LARA;AVENIDA DOUTOR DAISAKU IKEDA - 901;2783;6
319;1236;COLÉGIO BATISTA MINEIRO - UNIDADE BETIM;RUA ARIOVALDO LUCIANO DO PINHO - 250;3204;13
319;1244;E. M. PAULO MONTEIRO LARA;ESTRADA DA CHARNECA - ZONA RURAL;171;1
319;1252;ESCOLA ESTADUAL DOUTOR ORESTES DINIZ;RUA ANTÔNIO LUIZ DRUMOND - 200;2300;5
319;1260;EDUCAÇÃO INFANTIL SANTA CECÍLIA;RUA MIGUEL PEREIRA - 110;612;0
319;1279;ESCOLA ESTADUAL PROFESSORA LOURDES BERNADETE SILVA;RUA BELO HORIZONTE - 535;2212;2
319;1287;ESCOLA ESTADUAL GRAMONT ALVES GONTIJO;RUA HUMBERTO CAMPOS - 260;1420;6
319;1295;CASA DE SAÚDE SANTA IZABEL;RUA OLAVO BILAC - 113;121;0
319;1309;ESCOLA ESTADUAL PROFESSOR CARLOS LÚCIO DE ASSIS;RUA VALPARAÍSO - 50;1643;3
319;1317;E. M. EDIR TEREZINHA DE ALMEIDA FAGUNDES;RUA MUÇAMBEIRO - 180;2068;5
319;1325;E. M. VEREADOR RAFAEL BARBIZAN;RUA ANTÔNIO LOURETO FLÔRES - 32;1054;3
319;1368;CENTRO INFANTIL MUNICIPAL TIA DULCE;RUA AUGUSTO SEVERO - 212;746;2
319;1376;ESCOLA MUNICIPAL JOSÉ VILAÇA GUIMARÃES;RUA UM - 30 (ESQUINA COM RUA AMOREIRA / 32641416);816;1
319;1384;CENTRO EDUCACIONAL TECNICO DE ARTES PROFISSIONAIS-CETAP;RUA DOUTOR SILVIO LOBO 123;2315;14
319;1392;ESCOLA ESTADUAL AMELIA SANTANA BARBOSA;RUA VIRIATO ALEXANDRINO DE MELO 240;2079;12
319;1406;ESCOLA ESTADUAL NEWTON AMARAL;AVENIDA AMAZONAS 4235;1837;4
319;1414;ESCOLA ESTADUAL CONSELHEIRO AFONSO PENA;RUA RIO DE JANEIRO 47;1714;11
319;1422;ESCOLA MUNICIPAL MARGARIDA SOARES GUIMARAES;RUA TOCANTINS 335;902;8
319;1430;ESCOLA  MUNICIPAL ANTONIO DASSIS MARTINS;RUA FELIPE DOS SANTOS 320;2298;9
319;1457;ESCOLA MUNICIPAL MARGARIDA SOARES GUIMARAES;RUA TOCANTINS 335;1538;11
319;1465;ESCOLA MUNICIPAL RAUL SARAIVA RIBEIRO;AVENIDA MARECHAL RODON 251;1789;5
319;1473;ESCOLA ESTADUAL SILVIO LOBO;RUA VIRGINIA 64;2743;10
319;1481;ESCOLA ESTADUAL TITO LIVIO DE SOUZA;RUA JOAQUIM VENANCIO 195;2539;9
319;1490;E.E. JOAO PAULO I;RUA LEAO ANTONIO DA SILVA 600;2039;4
319;1503;ESCOLA ESTADUAL NOSSA SENHORA DO CARMO;RUA NORTE 525;1691;11
319;1511;ESCOLA ESTADUAL GABRIEL PASSOS;RUA ARGENTINA, 64;168;1
