NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
279;1589;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - BLOCO 3Q;AVENIDA JOÃO NAVES DE ÁVILA, 2160;7446;20
279;1597;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - BLOCO 5O;AVENIDA JOÃO NAVES DE ÁVILA, 2160;3285;2
279;1627;COLÉGIO OBJETIVO;RUA DA CIÊNCIA, 82 - ESQUINA COM RUA BOCAÚVA;4247;7
279;1643;ESCOLA MUNICIPAL PROFESSOR MILTON DE MAGALHÃES PORTO;RUA SERVIÇO, 136;1730;4
279;1651;ESCOLA MUNICIPAL ODILON CUSTÓDIO PEREIRA;RUA CHAPADA DIAMANTINA, 355;2143;2
279;1660;ESCOLA ESTADUAL HERCÍLIA MARTINS REZENDE;RUA PROF IGNÁCIO CASTILHO, 405;2218;1
279;1678;ESCOLA MUNICIPAL SEBASTIANA SILVEIRA PINTO;RUA ANTÔNIO BERNARDES COSTA, N 161;1322;5
279;1686;INSTITUTO EDUCACIONAL SANTA MÔNICA;RUA GERALDO ROBERTO GERKEN, N 162;947;0
279;1694;DOMINÓ ESCOLA INFANTIL;ALAMEDA AGUINALDO FERREIRA PACHECO, 36;2696;3
279;1708;ESCOLA MUNICIPAL PRESIDENTE ITAMAR FRANCO;RUA JURANDIR MACEDO 185;2947;0
279;1716;ESCOLA MUNICIPAL ODELCIA LEÃO CARNEIRO;RUA SERRA PACARAÍMA 800;1917;1
279;1724;COLÉGIO OLIMPO- UNIDADE VIGILATO PEREIRA;RUA ABRÃO CALIL, 120;1054;1
279;1732;ESCOLA ESTADUAL DONA ALEXANDRA PEDREIRO;AV. NAJLA ALÍPIO ABRÃO 365;873;0
279;1740;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - BLOCO 5S;AV. JOAO NAVES DE ÁVILA 2160;5420;25
279;1759;UNITRI BLOCO D;AV NICOMEDES ALVES DOS SANTOS 4545;2834;9
279;1767;ESCOLA ESTADUAL FELISBERTO ALVES CARREJO;RUA IVETE CORDEIRO SA SILVA 1130;1890;3
279;1775;COLÉGIO COPACABANA;RUA DA CARIOCA;1788;2
299;1058;SENAI - ROOSEVELT - UNIDADE FÁBIO DE ARAÚJO MOTTA;RUA ERNESTO VICENTINI, 245;2217;1
299;1066;ESCOLA ESTADUAL GUIOMAR DE FREITAS COSTA;AV . MORUM BERNARDINO, 560;3198;7
299;1074;ESCOLA ESTADUAL PADRE MARIO FORESTAN;RUA GALENO ANDRADE SANTOS, 159;2692;0
299;1082;ESCOLA ESTADUAL SETE DE SETEMBRO;AVENIDA ATLANTICA, 577;2198;2
299;1090;ESCOLA ESTADUAL HORTÉNCIO DINIZ;AV. COMENDADOR ALEXANDRINO GARCIA, 387;1913;3
299;1104;ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES;AV. COMENDADOR ALEXANDRINO GARCIA, 635;1579;0
299;1112;ESCOLA MUNICIPAL PROF. MARIA LEONOR DE FREITAS BARBOSA;RUA CABRAL DE MENEZES, 216;2436;4
299;1139;ESCOLA ESTADUAL ANTÔNIO LUÍS BASTOS;RUA JATAÍ , 518;3155;3
299;1147;ESCOLA ESTADUAL PROFESSORA ALICE PAES;RUA JERONIMO MARTINS DO NASCIMENTO, 309;1005;0
299;1155;ESCOLA ESTADUAL ENÉIAS VASCONCELOS;RUA BAHIA, 1671;1404;1
299;1198;ESCOLA ESTADUAL DO BAIRRO MARAVILHA;RUA MANOEL MAURÍCIO ARAÚJO ,180;1248;0
299;1201;ESCOLA ESTADUAL PROFESSOR NELSON CUPERTINO;RUA SETE DE JUNHO, 145;2366;2
299;1210;ESCOLA ESTADUAL DA CIDADE INDUSTRIAL;RUA OSMAR SILVÉRIO DA SILVA, 105;1879;5
299;1228;ESCOLA ESTADUAL DO CONJ. CRUZEIRO DO SUL;RUA ALVACAZ, 135;1983;2
299;1244;ESCOLA MUNICIPAL CRUZEIRO DOS PEIXOTOS;RUA DA EDUCAÇÃO, 146;407;0
299;1279;INSTITUTO IRMÃ TEREZA VALSÉ PANTELLINI;AV MATO GROSSO, 1625;1721;0
299;1287;ESCOLA MUNICIPAL MARTINÉSIA;AV. CENTRAL, S/N;386;0
299;1295;ESCOLA MUNICIPAL PROF. SERGIO DE OLIVEIRA MARQUEZ;RUA MARIA ABRÃO CALIL, 25;3378;7
299;1325;ESCOLA MUNICIPAL PROF. OTAVIO BATISTA COELHO FILHO;RUA JOSE REZENDE DOS SANTOS,1010;2527;7
299;1333;ESCOLA MUNICIPAL  PROF. LADARIO TEIXEIRA;AV. REBELIAO PRAIEIRA, 761;4153;7
299;1341;FACULDADE DE MEDICINA - BLOCO 8 C;AV. AMAZONAS, S/N;2231;6
